,Percent Change 2014-2019,Prices
78729,18.04123711340206,87
78744,117.24137931034483,70
78735,150.0,499
78749,158.33333333333334,2555
78751,190.73305670816043,156
78733,195.8904109589041,155
78759,260.0,119
78731,262.4113475177305,400
78704,263.979057591623,295
78741,284.0616966580977,192
78703,286.31921824104234,286
78754,291.9642857142857,78
78705,292.48704663212436,123
78739,300.0,50
78723,316.015625,138
78757,332.2314049586777,127
78702,372.66417512012816,253
78748,375.1592356687898,159
78752,392.43697478991595,117
78701,395.02702702702703,315
78722,402.49554367201426,150
78745,416.34615384615387,167
78746,425.46583850931677,821
78747,433.3333333333333,45
78717,500.0,35
78734,519.047619047619,369
78738,546.1538461538462,159
78750,553.8461538461538,279
78724,566.6666666666666,265
78737,684.4444444444445,114
78756,686.1788617886178,147
78727,766.6666666666666,113
78736,788.3720930232558,187
78753,944.4444444444445,50
78732,1004.7619047619048,127
78721,1087.3563218390805,145
78758,1530.7692307692307,122
